Player,Pos,MP,Mn/MP,Player_ID
Ró-Ró,DF,3,90.0,8735fe66
Alessandro Circati,DF,4,98.0,1223765c
Juan Manuel Sanabria,DF,3,68.0,f1d74479
Yan Valery,DF,3,84.0,531a4aa8
César Montes,DF,4,79.0,28e957d7
Çağlar Söyüncü,DF,1,7.0,21166ff4
Ko Itakura,DF,2,64.0,97d545ae
Michael Boxall,DF,3,69.0,6bfa0d3a
David Møller Wolfe,DF,5,86.0,9affc5f2
Lisandro Martínez,DF,7,89.0,bac46a10
Gideon Mensah,DF,4,90.0,9bdd8118
Mohamed Hany,DF,5,96.0,9bcf1513
Douglas Santos,DF,5,88.0,c50e5bba
Jan Paul van Hecke,DF,4,98.0,4fd08daa
Arthur Theate,DF,3,76.0,df8d6029
Nicolás Tagliafico,DF,7,68.0,f0661424
Dayot Upamecano,DF,8,83.0,d248cd8f
Facundo Medina,DF,5,62.0,6f5ec8bb
Nuno Mendes,DF,5,79.0,f20e4cc9
Ali Abdi,DF,3,90.0,ad7cdb35
Akam Hashim,DF,3,90.0,f8416e89
Ghislain Konan,DF,3,90.0,6b2c894b
Lucas Mendes,DF,1,4.0,5169f27f
Theo Hernández,DF,5,51.0,d4c9725f
Nathan Patterson,DF,3,62.0,230f0471
Mikel Merino,MF,8,25.0,d080ed5e
Abdullah Al-Khaibari,MF,3,60.0,ab47ae1c
Dani Olmo,MF,8,61.0,ae44e8e2
Samuel Moutoussamy,MF,4,83.0,af0c835b
Nishan Velupillay,MF,2,38.0,40cb6b33
Yannick,MF,2,16.0,6246aa55
Pedro Vite,MF,4,90.0,9c146b36
Fabián Ruiz Peña,MF,8,40.0,c0c7ff58
Andrés Gómez,MF,1,1.0,76a82373
Aiden O'Neill,MF,4,90.0,c7aee75b
Trézéguet,MF,4,41.0,3ae14ed1
Remo Freuler,MF,6,99.0,98d2c2c4
Lucas Bergvall,MF,4,45.0,a109e5c8
Sherzod Esanov,MF,1,1.0,bd6667ba
Aurélien Tchouaméni,MF,4,90.0,4f255115
Mathieu Choinière,MF,1,57.0,017459bb
Saman Ghoddos,MF,3,69.0,f7b1d4e0
Michael Olise,MF,8,81.0,c4486bac
Caleb Yirenkyi,MF,4,66.0,d40ce7b0
Kevin De Bruyne,MF,5,76.0,e46012d4
Hwang In-beom,MF,3,88.0,92fa5d28
Yasin Ayari,MF,4,85.0,f173303a
Nathan Saliba,MF,3,61.0,44cfc681
Jordy Alcivar,MF,1,45.0,6e98c19f
Mohamed Kanno,MF,3,75.0,74ccf212
Mahmoud Al-Mardi,MF,3,43.0,1eedc1ea
Ismaël Gharbi,MF,3,42.0,5b3cfa12
Mauricio,MF,4,43.0,bf4cbc22
Kim Jin-gyu,MF,2,26.0,7c0479b1
Dostonbek Khamdamov,MF,2,52.0,d2dd2ffb
Kevin Castaño,MF,2,8.0,c393c3d9
Vladimír Darida,MF,1,54.0,3eb0f2df
Benjamin Nygren,MF,4,33.0,d6ebf67f
Ryan Gravenberch,MF,4,86.0,b8e740fb
Rodrigo Bentancur,MF,3,90.0,3b8674e6
Leon Goretzka,MF,3,33.0,cc86b9a3
Djibril Sow,MF,4,63.0,4c6facae
Sultan Mendash,MF,1,65.0,8738a7a1
Ali Ahmed,MF,4,59.0,540a5be1
Ngal'Ayel Mukau,MF,4,49.0,bb461b8a
Otabek Shukurov,MF,3,79.0,62032a56
İsmail Yüksek,MF,2,70.0,6c5af908
Zizo,MF,4,14.0,c6415ba9
Habib Diarra,MF,3,48.0,6d0fe035
Tyler Adams,MF,4,85.0,2b09d998
Enzo Fernández,MF,7,94.0,5ff4ab71
Salih Özcan,MF,2,50.0,15413fa5
Ritsu Doan,MF,4,70.0,d01bbb6f
Ayyoub Bouaddi,MF,5,76.0,8006228f
Connor Metcalfe,MF,4,79.0,73ce4d7d
Rodrigo De Paul,MF,7,70.0,162efffd
Pedri,MF,8,62.0,0d9b2d31
Ao Tanaka,MF,3,64.0,1d36d6b6
Ivan Bašić,MF,3,60.0,9b0a0d51
Casemiro,MF,5,76.0,4d224fe8
Luka Modrić,MF,4,79.0,6025fab1
Brian Gutiérrez,MF,4,50.0,d88f31db
Alexis Mac Allister,MF,8,94.0,83d074ff
Noni Madueke,MF,5,57.0,bf34eebd
Rodri,MF,8,91.0,6434f10d
Mathew Leckie,MF,1,60.0,b93b7882
Aníbal Godoy,MF,1,1.0,2d496ca3
Nico Williams,MF,6,19.0,afdc14d7
Damián Bobadilla,MF,4,47.0,ad7d6437
Nikola Vlašić,MF,3,63.0,aa8e289e
Dodi Lukebakio,MF,3,55.0,0c61c77c
Nasser Al-Dawsari,MF,3,69.0,7709e4a6
Nicolás De La Cruz,MF,3,29.0,8fda5c72
Youssef Amyn,MF,1,31.0,10c12f22
Carney Chukwuemeka,MF,3,28.0,b2f9c73e
Azzedine Ounahi,MF,6,73.0,83299cc0
Maghnes Akliouche,MF,1,8.0,b625b241
Jackson Irvine,MF,4,56.0,4637747c
Paul Wanner,MF,4,59.0,cb64672e
Kieran Tierney,MF,2,52.0,fce2302c
Ryan Thomas,MF,3,28.0,95efdac2
Louicius Deedson,MF,3,37.0,f7059bb1
Eom Ji-sung,MF,2,21.0,3a049da1
Eberechi Eze,MF,5,42.0,ae4fc6a4
Morgan Rogers,MF,7,48.0,2e5915f1
Fares Chaïbi,MF,4,90.0,357103bd
Kenan Yıldız,MF,3,73.0,d8cda243
Nicolás Paz,MF,2,36.0,01bb93d5
Hassan Al-Haydos,MF,2,29.0,41bd6c64
Jamiro Monteiro,MF,4,70.0,d384bddd
Daichi Kamada,MF,4,82.0,15b287da
Elliot Anderson,MF,8,79.0,de31038e
Marwan Attia,MF,5,87.0,1ea3d7ec
Aleksandar Pavlovic,MF,4,68.0,2658c82f
Ali Jasim,MF,2,65.0,1a927a6f
Akmal Mozgovoy,MF,3,72.0,114cb95b
Richard Ríos,MF,5,28.0,72da065d
Sphephelo Sithole,MF,3,76.0,33bcd4b3
Zidane Iqbal,MF,3,63.0,6fa3c28e
Bara Sapoko Ndiaye,MF,1,26.0,fa080d50
Riyad Mahrez,MF,4,66.0,892d5bb1
Amer Jamous,MF,1,15.0,32d4f1e1
Houssem Aouar,MF,3,58.0,a5db0bec
Garry Rodrigues,MF,2,38.0,149895bf
Ousmane Dembélé,MF,8,74.0,b19db005
Khalid Al Ghannam,MF,1,1.0,c16843c7
Nilson Angulo,MF,4,55.0,a9b9d89c
Nicolás González,MF,7,37.0,2374aaca
Bukayo Saka,MF,7,51.0,bc7dc64d
Yoel Bárcenas,MF,3,83.0,b39849eb
Adrien Rabiot,MF,7,84.0,8794e251
Jacob Shaffelburg,MF,5,18.0,339a2561
Mohanad Lasheen,MF,4,90.0,8c041c7d
Noor Al Rawabdeh,MF,3,90.0,3bb06c86
Anis Hadj Moussa,MF,3,33.0,7bc7eef2
Niko Sigur,MF,3,42.0,5c56986b
Lukáš Červ,MF,2,82.0,bb4a41bc
Mohammad Ghorbani,MF,1,90.0,4a078e18
Alan Minda,MF,1,55.0,9cfd5b00
Sofyan Amrabat,MF,3,49.0,5a2cb25d
Yunus Akgün,MF,2,44.0,1453e3cf
Christian Pulisic,MF,4,56.0,1bf33a9a
Paul Okon-Engstler,MF,4,49.0,ecd6464a
Saeid Ezatolahi,MF,3,88.0,314d95ac
Esmir Bajraktarevic,MF,4,58.0,dff24174
Jhon Arias,MF,5,75.0,86d96066
Elliot Stroud,MF,4,42.0,ff11bdec
Morten Thorsby,MF,1,45.0,d1b49282
Josué Casimir,MF,3,61.0,481f76cf
Danilo Santos,MF,4,12.0,a816dbfb
Khojiakbar Alijonov,MF,2,68.0,e53cbd7a
Kendry Páez,MF,1,12.0,f3bb9f59
Ruben Providence,MF,3,73.0,26bab383
Assane Diao,MF,1,10.0,8ae7d0ec
Daizen Maeda,MF,3,81.0,395451fc
Besfort Zeneli,MF,2,30.0,6be253bf
Youri Tielemans,MF,5,95.0,56f7a928
Bernardo Silva,MF,4,24.0,3eb22ec9
Ben Old,MF,3,31.0,e14e818c
Gabriel Martinelli,MF,4,36.0,48a5a5d6
Stephen Eustáquio,MF,5,78.0,577efaec
Samu Costa,MF,1,21.0,76c2a023
Braian Ojeda,MF,1,22.0,60953af0
Ahmed Fathy,MF,3,50.0,f2369793
Marcel Sabitzer,MF,4,90.0,e280527c
Abbosbek Fayzullayev,MF,3,73.0,ef1d36a1
Pape Matar Sarr,MF,2,34.0,feb5d972
Francisco Conceição,MF,4,32.0,5ef3d210
Emam Ashour,MF,5,72.0,31b7d437
Jude Bellingham,MF,8,77.0,57d88cf9
Ardon Jashari,MF,3,24.0,889588db
Bruno Guimarães,MF,5,83.0,82518f62
Livano Comenencia,MF,3,78.0,c9d96dc1
Nicolas Seiwald,MF,4,79.0,28c6e925
Edo Kayembe,MF,3,53.0,f99b71de
