Workload,count,mean,std,min,25%,50%,75%,max
Higher,28.0,60.542857142857144,17.01621075831598,16.7,51.8,58.5,74.325,88.9
Lower,31.0,61.67096774193549,21.15802753170196,0.0,55.8,68.2,73.0,90.9
