Player,Pos,MP,Min,Mn/MP,Player_ID,Calculated_Mn_MP,Mn_MP_Difference
Alexander Bernhardsson,MF,3,217.0,72.0,dea1d183,72.33333333333333,0.3333333333333286
Tyler Bindon,DF,3,97.0,32.0,3575e5eb,32.333333333333336,0.3333333333333357
Damián Bobadilla,MF,4,189.0,47.0,ad7d6437,47.25,0.25
Moïse Bombito,DF,3,193.0,64.0,c2f23fc8,64.33333333333333,0.3333333333333286
Ayyoub Bouaddi,MF,5,381.0,76.0,8006228f,76.2,0.20000000000000284
Hicham Boudaoui,MF,3,128.0,43.0,f9d5908e,42.666666666666664,0.3333333333333357
Karim Boudiaf,MF,2,102.0,51.0,a38f33fd,51.0,0.0
Nawaf Boushal,DF,2,91.0,46.0,7dc1c2c6,45.5,0.5
Michael Boxall,DF,3,207.0,69.0,6bfa0d3a,69.0,0.0
Sultan Al-Brake,DF,2,141.0,71.0,fcaa2400,70.5,0.5
Joshua Brenet,DF,2,179.0,90.0,2b5527c4,89.5,0.5
Dylan Bronn,DF,1,45.0,45.0,edd81e2a,45.0,0.0
Nathaniel Brown,DF,3,282.0,94.0,abc79c47,94.0,0.0
Tajon Buchanan,MF,5,376.0,75.0,3aca6420,75.2,0.20000000000000284
Cameron Burgess,DF,2,135.0,68.0,da61ca98,67.5,0.5
Dan Burn,DF,3,35.0,12.0,b2d31e83,11.666666666666666,0.3333333333333339
Dženis Burnić,MF,2,16.0,8.0,0dabaf14,8.0,0.0
Liberato Cacace,DF,3,220.0,73.0,dd86e8e4,73.33333333333333,0.3333333333333286
Juan Cáceres,DF,5,436.0,87.0,db887bdf,87.2,0.20000000000000284
Sebastián Cáceres,DF,3,270.0,90.0,7091c68e,90.0,0.0
Moisés Caicedo,MF,4,360.0,90.0,16264a81,90.0,0.0
Hakan Çalhanoğlu,MF,2,180.0,90.0,cd0fa27b,90.0,0.0
Lamine Camara,MF,4,248.0,62.0,19c2ffa4,62.0,0.0
İrfan Can Kahveci,MF,1,1.0,1.0,d2800f47,1.0,0.0
José Canale,DF,4,161.0,40.0,97d24b73,40.25,0.25
João Cancelo,DF,5,312.0,62.0,bd6351cd,62.4,0.3999999999999986
Casemiro,MF,5,379.0,76.0,4d224fe8,75.8,0.20000000000000284
Josué Casimir,MF,3,182.0,61.0,481f76cf,60.666666666666664,0.3333333333333357
Timothy Castagne,DF,6,478.0,80.0,197640fd,79.66666666666667,0.3333333333333286
Kevin Castaño,MF,2,16.0,8.0,c393c3d9,8.0,0.0
Jens Castrop,MF,1,45.0,45.0,03fee7de,45.0,0.0
Zeki Çelik,DF,2,163.0,82.0,31a62dc7,81.5,0.5
Lukáš Červ,MF,2,163.0,82.0,bb4a41bc,81.5,0.5
Fares Chaïbi,MF,4,360.0,90.0,357103bd,90.0,0.0
Štěpán Chaloupek,DF,1,90.0,90.0,ded82b9a,90.0,0.0
Luis Chávez,MF,1,25.0,25.0,e50949ea,25.0,0.0
Mateo Chávez,DF,1,77.0,77.0,f82246a1,77.0,0.0
Samir Chergui,DF,1,20.0,20.0,4b6ab1da,20.0,0.0
Rayan Cherki,MF,7,130.0,19.0,b34c63a5,18.571428571428573,0.42857142857142705
Mathieu Choinière,MF,1,57.0,57.0,017459bb,57.0,0.0
Tahith Chong,MF,3,247.0,82.0,2696b6a9,82.33333333333333,0.3333333333333286
Ryan Christie,MF,3,95.0,32.0,26ce2263,31.666666666666668,0.33333333333333215
Carney Chukwuemeka,MF,3,83.0,28.0,b2f9c73e,27.666666666666668,0.33333333333333215
Alessandro Circati,DF,4,390.0,98.0,1223765c,97.5,0.5
Pathé Ciss,DF,4,184.0,46.0,9a0408b6,46.0,0.0
Livano Comenencia,MF,3,233.0,78.0,c9d96dc1,77.66666666666667,0.3333333333333286
Eray Cömert,DF,1,31.0,31.0,15937e17,31.0,0.0
Francisco Conceição,MF,4,126.0,32.0,5ef3d210,31.5,0.5
José Córdoba,DF,3,270.0,90.0,bec98750,90.0,0.0
