Player,Pos,MP,Mn/MP,Player_ID
Livano Comenencia,MF,3,78.0,c9d96dc1
Eray Cömert,DF,1,31.0,15937e17
Francisco Conceição,MF,4,32.0,5ef3d210
José Córdoba,DF,3,90.0,bec98750
Derek Cornelius,DF,4,79.0,577744b8
Samu Costa,MF,1,21.0,76c2a023
Pau Cubarsí,DF,8,94.0,cc7888f3
Andrés Cubas,MF,5,96.0,9b40a6ea
Marc Cucurella,DF,8,94.0,1daec722
Findlay Curtis,MF,2,5.0,e2a68b89
Danilo,DF,5,81.0,94b2001f
Kevin Danso,DF,4,60.0,6e33125f
Vladimír Darida,MF,1,54.0,3eb0f2df
Erick Davis,DF,2,2.0,2ffb0739
Nasser Al-Dawsari,MF,3,69.0,7709e4a6
Salem Al-Dawsari,MF,3,82.0,60ee859c
Kevin De Bruyne,MF,5,76.0,e46012d4
Maxim De Cuyper,DF,6,74.0,d494882e
Luc De Fougerolles,DF,5,74.0,45c427ff
Nicolás De La Cruz,MF,3,29.0,8fda5c72
Rodrigo De Paul,MF,7,70.0,162efffd
Amar Dedić,DF,3,90.0,bc6e544a
Louicius Deedson,MF,3,37.0,f7059bb1
Hannes Delcroix,DF,3,90.0,b737f944
Ousmane Dembélé,MF,8,74.0,b19db005
Merih Demiral,DF,2,90.0,e3cceee6
Sergiño Dest,MF,5,59.0,5976f83e
Frans Dhia Putros,DF,1,90.0,0102aa7e
Assane Diao,MF,1,10.0,8ae7d0ec
Habib Diarra,MF,3,48.0,6d0fe035
Rúben Dias,DF,4,90.0,31c69ef1
Krépin Diatta,DF,4,98.0,8104e41e
Brahim Díaz,MF,6,76.0,407feb71
Lucas Digne,DF,6,77.0,1b84dbe1
Diney,DF,4,98.0,d2e33ba2
Ousmane Diomande,DF,1,90.0,394be156
Issa Diop,DF,5,95.0,a712ca2b
El Hadji Malick Diouf,DF,3,57.0,bd5eb2e5
Ritsu Doan,MF,4,70.0,d01bbb6f
Jeremy Doku,MF,5,62.0,fffea3e5
Merchas Doski,DF,3,90.0,fdf4cfe5
David Douděra,MF,1,90.0,e95b4604
Désiré Doué,MF,8,50.0,9e7483ff
Guéla Doué,DF,4,69.0,b4ef3fb5
Deroy Duarte,MF,4,66.0,6af8fc5b
Laros Duarte,MF,4,42.0,4af3d3c8
Jean-Kevin Duverne,DF,2,85.0,0cbc8baa
Roshon van Eijma,DF,1,15.0,130368de
Callan Elliot,DF,1,13.0,9d6968a3
Eren Elmalı,DF,2,56.0,8eeb8ba4
Nico Elvedi,DF,6,100.0,48035304
Sherzod Esanov,MF,1,1.0,bd6667ba
Fidel Escobar,DF,1,90.0,4991ec66
Pervis Estupiñán,MF,2,45.0,d38fdf53
Stephen Eustáquio,MF,5,78.0,577efaec
Saeid Ezatolahi,MF,3,88.0,314d95ac
Eberechi Eze,MF,5,42.0,ae4fc6a4
Henrik Falchener,DF,1,65.0,57fe6b9b
Marko Farji,MF,2,27.0,e046cff6
Ahmed Fathy,MF,3,50.0,f2369793
Ahmed Fatouh,DF,3,89.0,de13286d
Abbosbek Fayzullayev,MF,3,73.0,ef1d36a1
João Félix,MF,3,67.0,8aafd64f
Lewis Ferguson,MF,3,90.0,ee64a822
Bruno Fernandes,MF,5,84.0,507c7bdf
Enzo Fernández,MF,7,94.0,5ff4ab71
Álvaro Fidalgo,MF,3,32.0,c705cdc4
Sherel Floranus,DF,3,90.0,5ad49fbb
Seko Fofana,MF,2,46.0,5313ed43
Deveron Fonville,DF,3,80.0,21932982
Alan Franco,DF,4,63.0,c76b161b
Alex Freeman,DF,5,75.0,754f150b
Remo Freuler,MF,6,99.0,98d2c2c4
Marco Friedl,DF,1,24.0,f86ad3f5
Juriën Gaari,DF,2,83.0,bf7a9d1a
Jassem Gaber,MF,3,50.0,af9ef8aa
Matías Galarza,MF,4,97.0,8e97a57b
Jesús Gallardo,DF,5,75.0,d0846b6c
Ben Gannon-Doak,MF,3,62.0,733f1a7d
Jason Geria,DF,2,31.0,cd494a8d
Khalid Al Ghannam,MF,1,1.0,c16843c7
Ismaël Gharbi,MF,3,42.0,5b3cfa12
Saman Ghoddos,MF,3,69.0,f7b1d4e0
Mohammad Ghorbani,MF,1,90.0,4a078e18
Lee Gi-hyuk,DF,3,90.0,18c8c3c7
Armin Gigovic,MF,2,40.0,d0a0858e
Aníbal Godoy,MF,1,1.0,2d496ca3
Andrés Gómez,MF,1,1.0,76a82373
Diego Gómez,MF,4,76.0,916728da
Gustavo Gómez,DF,5,96.0,d5ce52a5
Nicolás González,MF,7,37.0,2374aaca
Anthony Gordon,MF,6,66.0,2bd83368
Leon Goretzka,MF,3,33.0,cc86b9a3
Ryan Gravenberch,MF,4,86.0,b8e740fb
Marc Guéhi,DF,8,83.0,d0706b27
Idrissa Gueye,MF,4,90.0,72c812f3
Pape Gueye,MF,4,59.0,7155e3e1
Bruno Guimarães,MF,5,83.0,82518f62
Arda Güler,MF,3,90.0,3741ca58
Malo Gusto,DF,5,24.0,d56b9520
Brian Gutiérrez,MF,4,50.0,d88f31db
Jorge Gutiérrez,DF,1,87.0,56f6d192
Joško Gvardiol,DF,4,35.0,5ad50391
Aziz Gʻaniyev,MF,2,61.0,0c492054
Ihsan Haddad,DF,3,87.0,85660a5d
Anis Hadj Moussa,MF,3,33.0,7bc7eef2
Jaouen Hadjam,DF,3,36.0,576817b7
Amir Hadžiahmetović,MF,1,6.0,e8213ed3
Dennis Hadžikadunić,DF,1,27.0,82cfae2a
Karim Hafez,DF,3,57.0,d2debf23
Ehsan Hajsafi,DF,2,46.0,b060e3b8
Achraf Hakimi,DF,6,95.0,e42d61c7
Redouane Halhal,DF,2,90.0,e17c2cec
Mohamed Amine Ben Hamida,DF,3,67.0,2a5e8f82
Odiljon Hamrobekov,MF,2,39.0,03f63e77
Lee Han-beom,DF,3,90.0,071f2dd3
Grant Hanley,DF,2,90.0,e9254eec
Mohamed Hany,DF,5,96.0,9bcf1513
Moteb Al-Harbi,DF,3,63.0,1d88554c
Saleh Hardani,DF,2,45.0,3a9b682b
Carlos Harvey,MF,3,89.0,3f18600c
Akam Hashim,DF,3,90.0,f8416e89
Haissem Hassan,MF,2,63.0,e0979e74
Abdulaziz Hatem,MF,1,45.0,c5065ef8
Jorrel Hato,DF,1,35.0,bde35051
Hassan Al-Haydos,MF,2,29.0,41bd6c64
Jan Paul van Hecke,DF,4,98.0,4fd08daa
Torbjørn Heggem,DF,5,89.0,834fea76
Alaa Al Hejji,MF,2,16.0,6d258576
Jordan Henderson,MF,1,7.0,935e6b8f
Jack Hendry,DF,3,90.0,ffed43e3
Theo Hernández,DF,5,51.0,d4c9725f
Lucas Herrington,DF,2,105.0,6f808c85
Aaron Hickey,DF,1,74.0,1780bb4a
Isak Hien,DF,3,72.0,12806697
Piero Hincapié,DF,4,85.0,0c7a48f8
Tomáš Holeš,DF,2,77.0,e03c2d97
Robin Hranáč,DF,3,90.0,95d5aea2
Ajdin Hrustic,MF,2,40.0,1f2d714c
Al-Hashmi Al-Hussain,MF,1,32.0,c164fda2
Roger Ibanez,DF,1,45.0,82efe6fa
Yasser Ibrahim,DF,5,93.0,0b89ad1b
Hwang In-beom,MF,3,88.0,92fa5d28
Christ Inao Oulaï,MF,4,52.0,62709ee4
Zidane Iqbal,MF,3,63.0,6fa3c28e
Jackson Irvine,MF,4,56.0,4637747c
Zaid Ismail,MF,2,59.0,c65effaa
Ko Itakura,DF,2,64.0,97d545ae
Jacob Italiano,DF,2,82.0,2eb0ee9a
Hiroki Ito,DF,4,90.0,204dded0
Junya Itō,MF,4,54.0,dbd3a428
Ismail Jakobs,DF,3,73.0,a0415710
Reece James,DF,5,64.0,1265a93a
Amer Jamous,MF,1,15.0,32d4f1e1
Luca Jaquez,DF,2,39.0,a400da8e
Ardon Jashari,MF,3,24.0,889588db
Ali Jasim,MF,2,65.0,1a927a6f
Danley Jean-Jacques,MF,3,86.0,59fcbd6d
Eom Ji-sung,MF,2,21.0,3a049da1
Kim Jin-gyu,MF,2,26.0,7c0479b1
Alistair Johnston,DF,5,90.0,4fb17e20
Frenkie de Jong,MF,4,82.0,1bacc518
Elijah Just,MF,3,88.0,0c295d6e
Ozan Kabak,DF,1,90.0,2d61d13a
Ferdi Kadioglu,DF,2,80.0,66c52a77
Kaku,MF,1,11.0,cb01ad74
Gédéon Kalulu,DF,1,6.0,dd211559
Daichi Kamada,MF,4,82.0,15b287da
Hossein Kanaanizadegan,DF,2,68.0,24353c25
Mohamed Kanno,MF,3,75.0,74ccf212
Steve Kapuadi,DF,2,90.0,3f3c941a
Bekhruz Karimov,DF,2,90.0,74cdaeba
Jesper Karlström,MF,2,69.0,e0a1f4eb
Nikola Katić,DF,4,79.0,35bd124a
Edo Kayembe,MF,3,53.0,f99b71de
Franck Kessié,MF,4,87.0,05e19d6a
Abdullah Al-Khaibari,MF,3,60.0,ab47ae1c
Shoja' Khalilzadeh,DF,3,90.0,0aed29f1
Dostonbek Khamdamov,MF,2,52.0,d2dd2ffb
Rani Khedira,MF,3,50.0,59e4b92e
Boualem Khoukhi,DF,3,90.0,7be5ad52
Abdukodir Khusanov,DF,3,90.0,d17ce930
Joshua Kimmich,DF,4,88.0,49296448
Orkun Kökçü,MF,3,51.0,9bf914b4
Sead Kolašinac,DF,4,84.0,3935e52e
Ghislain Konan,DF,3,90.0,6b2c894b
Ibrahima Konaté,DF,2,30.0,5ed9b537
Ismaël Koné,MF,2,73.0,e0220b70
Manu Koné,MF,5,77.0,86574238
Ezri Konsa,DF,8,81.0,0313a347
Odilon Kossounou,DF,4,68.0,1f3afdcb
Kalidou Koulibaly,DF,2,81.0,da974c7b
Jules Koundé,DF,8,75.0,4d1666ff
Mateo Kovačić,MF,4,68.0,79c0821a
Ladislav Krejčí,DF,3,90.0,5b5c2228
Takefusa Kubo,MF,1,74.0,16aa3654
Maxence Lacroix,DF,3,80.0,277c49ed
Gustaf Lagerbielke,DF,4,90.0,9e39fa2d
Ali Lajami,DF,3,50.0,46f7ab4f
Sondre Langås,DF,1,25.0,107e4890
Aymeric Laporte,DF,8,91.0,119b9a8e
Richie Laryea,DF,5,86.0,276fdbe4
Mohanad Lasheen,MF,4,90.0,8c041c7d
Rafael Leão,MF,5,32.0,20730eae
Mathew Leckie,MF,1,60.0,b93b7882
Jefferson Lerma,MF,5,82.0,9b5ce51a
Philipp Lienhart,DF,2,90.0,302527b2
Erik Lira,MF,4,86.0,7b2c24ed
Marcos Llorente,DF,3,62.0,02c15616
Giovani Lo Celso,MF,1,59.0,d7553721
Azarías Londoño,MF,3,19.0,31d68775
Sidny Lopes Cabral,DF,3,95.0,20700569
Derrick Luckassen,DF,2,90.0,30a09cb5
Jhon Lucumí,DF,5,96.0,80490d7f
Dodi Lukebakio,MF,3,55.0,0c61c77c
Alexis Mac Allister,MF,8,94.0,83d074ff
Deiver Machado,DF,1,90.0,b3f8bdef
Assim Madibo,MF,2,66.0,2b1d2ada
Noni Madueke,MF,5,57.0,bf34eebd
Daizen Maeda,MF,3,81.0,395451fc
Gabriel Magalhães,DF,5,90.0,67ac5bb8
Ermin Mahmić,MF,3,23.0,86e34165
Hadj Mahmoud,MF,2,22.0,081048c2
Riyad Mahrez,MF,4,66.0,892d5bb1
Alexandro Maidana,DF,2,28.0,4d0d5020
Ahmed Maknzi,DF,1,33.0,f95ac2b6
Arjan Malic,DF,1,45.0,de57cd45
Mohamed Manai,DF,3,23.0,1e20b706
Aïssa Mandi,DF,4,90.0,fbd6378b
Juan Manuel Sanabria,DF,3,68.0,f1d74479
Mahmoud Al-Mardi,MF,3,43.0,1eedc1ea
Marquinhos,DF,5,90.0,d5f2f82b
Gabriel Martinelli,MF,4,36.0,48a5a5d6
Lisandro Martínez,DF,7,89.0,bac46a10
Arthur Masuaku,DF,4,79.0,57df7a11
Pape Matar Sarr,MF,2,34.0,feb5d972
Mauricio,MF,4,43.0,bf4cbc22
Noussair Mazraoui,DF,6,80.0,b74277a0
Thalente Mbatha,MF,4,65.0,f6272be9
Ibrahim Mbaye,MF,4,39.0,201b4ee4
Chancel Mbemba,DF,4,90.0,e76cb9cc
Mbekezeli Mbokazi,DF,4,90.0,13398d42
Callum McCowatt,MF,3,53.0,3fc42049
John McGinn,MF,3,86.0,90f91999
Scott McKenna,DF,1,90.0,4e5a4cbc
Weston McKennie,MF,5,89.0,01c3aff5
Mark McKenzie,DF,1,90.0,a5f5d094
Kenny McLean,MF,3,39.0,471f16b3
Scott McTominay,MF,3,90.0,d93c2511
Brandon Mechele,DF,6,95.0,0a6dbbf7
Facundo Medina,DF,5,62.0,6f5ec8bb
Hannibal Mejbri,MF,3,90.0,ca22ccb0
Amar Memić,MF,4,56.0,918c187c
Sultan Mendash,MF,1,65.0,8738a7a1
Lucas Mendes,DF,1,4.0,5169f27f
Nuno Mendes,DF,5,79.0,f20e4cc9
Gideon Mensah,DF,4,90.0,9bdd8118
Mikel Merino,MF,8,25.0,d080ed5e
Connor Metcalfe,MF,4,79.0,73ce4d7d
Thomas Meunier,DF,3,63.0,e162b013
Liam Millar,MF,3,54.0,983515f8
Kim Min-jae,DF,3,82.0,e0f8151c
Yerry Mina,DF,1,2.0,6d5701f2
Alan Minda,MF,1,55.0,9cfd5b00
Aubrey Modiba,DF,4,87.0,bb1f97f2
Luka Modrić,MF,4,79.0,6025fab1
Relebohile Mofokeng,MF,3,56.0,25c3fb97
Milad Mohammadi,DF,3,68.0,740a0e28
Mohammad Mohebi,MF,3,81.0,7b6b53c3
Johan Mojica,DF,4,98.0,608f2092
Teboho Mokoena,MF,3,90.0,00029b1e
Nahuel Molina,DF,7,75.0,23610943
Jamiro Monteiro,MF,4,70.0,d384bddd
César Montes,DF,4,79.0,28e957d7
Gonzalo Montiel,DF,6,32.0,374d5158
Kim Moon-hwan,MF,1,70.0,6bce7dd8
Gilberto Mora,MF,4,53.0,69c9ffe8
Diego Moreira,MF,1,58.0,12de1b0d
Steven Moreira,DF,4,75.0,f10983ae
Tshepang Moremi,MF,2,17.0,546d38f9
Samir El Mourabet,MF,5,16.0,1a03d055
Samuel Moutoussamy,MF,4,83.0,af0c835b
Akmal Mozgovoy,MF,3,72.0,114cb95b
Khuliso Mudau,DF,4,90.0,75388f92
Tarik Muharemovic,DF,3,86.0,426dda23
Ngal'Ayel Mukau,MF,4,49.0,bb461b8a
Mert Müldür,DF,3,34.0,1295552e
Daniel Muñoz,DF,5,79.0,778ef829
Jamal Musiala,MF,4,68.0,2c0558b8
Phillipp Mwene,DF,2,74.0,2ff76adc
David Møller Wolfe,DF,5,86.0,9affc5f2
Keito Nakamura,MF,4,77.0,d97af612
Abdallah Nasib,DF,3,87.0,aaab3072
Ali Nemati,DF,3,90.0,19a221f7
Pedro Neto,MF,5,70.0,7ba2eaa9
João Neves,MF,5,78.0,c2a15a27
Rúben Neves,MF,2,28.0,44bfb6c5
Nathan Ngoy,DF,4,84.0,eb7abf2e
Moussa Niakhaté,DF,4,98.0,00242715
Felix Nmecha,MF,4,68.0,091c86e2
Tyrese Noslin,MF,1,14.0,c3709bd2
Ernest Nuamah,MF,3,30.0,234a703c
Benjamin Nygren,MF,4,33.0,d6ebf67f
Aiden O'Neill,MF,4,90.0,c7aee75b
Nico O'Reilly,DF,7,66.0,91ca4a16
Salim Obaid,DF,3,7.0,f494bf5f
Armando Obispo,DF,3,90.0,2ffa6348
Braian Ojeda,MF,1,22.0,60953af0
Ime Okon,DF,4,90.0,3cb58055
Paul Okon-Engstler,MF,4,49.0,ecd6464a
Ben Old,MF,3,31.0,e14e818c
Michael Olise,MF,8,81.0,c4486bac
Mathías Olivera,DF,3,90.0,41c12f75
Dani Olmo,MF,8,61.0,ae44e8e2
Ali Olwan,MF,3,89.0,33c1d68d
Amadou Onana,MF,4,27.0,828657ff
Christopher Opéri,DF,1,90.0,914bb955
Jerome Opoku,DF,3,90.0,091d6ee5
Joel Ordóñez,DF,3,75.0,2990a15c
Jonathan Osorio,MF,2,3.0,70106ff6
Nicolás Otamendi,DF,7,35.0,0d267745
Ayoub Al-Oui,DF,2,75.0,010e5bae
Azzedine Ounahi,MF,6,73.0,83299cc0
Elisha Owusu,MF,3,50.0,e2781082
Salih Özcan,MF,2,50.0,15413fa5
Willian Pacho,DF,4,90.0,ecbe2839
Kendry Páez,MF,1,12.0,f3bb9f59
Exequiel Palacios,DF,1,90.0,e82adcab
Lucas Paquetá,MF,4,58.0,9b6f7fd5
Leandro Paredes,MF,7,68.0,dff153a4
